Code,Subdivision name,Subdivision category
AP,Andhra Pradesh,state
AR,Arunachal Pradesh,state
AS,Assam,state
BR,Bihar,state
CT,Chhattisgarh,state
GA,Goa,state
GJ,Gujarat,state
HR,Haryana,state
HP,Himachal Pradesh,state
JH,Jharkhand,state
KA,Karnataka,state
KL,Kerala,state
MP,Madhya Pradesh,state
MH,Maharashtra,state
MN,Manipur,state
ML,Meghalaya,state
MZ,Mizoram,state
NL,Nagaland,state
OR,Odisha,state
PB,Punjab,state
RJ,Rajasthan,state
SK,Sikkim,state
TN,Tamil Nadu,state
TG,Telangana,state
TR,Tripura,state
UT,Uttarakhand,state
UP,Uttar Pradesh,state
WB,West Bengal,state
AN,Andaman and Nicobar Islands,Union territory
CH,Chandigarh,Union territory
DN,Dadra and Nagar Haveli,Union territory
DD,Daman and Diu,Union territory
DL,Delhi,Union territory
LD,Lakshadweep,Union territory
PY,Puducherry,Union territory
JK,Jammu and Kashmir,Union territory
